Journal_Title_Normalized,added,Journal Title,ISSN,Remove_Date,Add_Date,Reason,Data Source,URL,reason_category
amphibian & reptile conservation,False,Amphibian & Reptile Conservation,1083-446X,2017-07-18,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
anagnórisis : revista de investigación teatral,False,Anagnórisis : Revista de Investigación Teatral,2013-6986,2016-09-23,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
anale : seria ştiinţe economice. timişoara,False,Anale : Seria Ştiinţe Economice. Timişoara,1582-2680,2017-04-27,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
anales de filología clásica,False,Anales de Filología Clásica,0325-1721,2020-01-15,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
anales del sistema sanitario de navarra,False,Anales del Sistema Sanitario de Navarra,1137-6627,2017-04-12,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
analítika : revista de análisis estadístico,False,Analítika : Revista de Análisis Estadístico,1390-6208,2016-08-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
andharupa,False,Andharupa,2477-2852,2018-10-08,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
andhra pradesh journal of psychological medicine,False,Andhra Pradesh Journal of Psychological Medicine,2249-5851,2017-04-04,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
animal biology & animal husbandry,False,Animal Biology & Animal Husbandry,2066-7612,2017-06-16,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
ankara üniversitesi tıp fakültesi mecmuas,False,Ankara Üniversitesi Tıp Fakültesi Mecmuas,0365-8104,2021-06-07,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
annales instituti archaeologici,False,Annales Instituti Archaeologici,1845-4046,2017-01-22,1677-09-22,no licence,DOAJ,,interesting reason
annales philosophici,False,Annales Philosophici,2067-3159,2015-12-08,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
annals of colorectal research,False,Annals of Colorectal Research,2322-5289,2019-10-04,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
annals of community health,False,Annals of Community Health,2347-5714,2021-08-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
annals of emerging technologies in computing,False,Annals of Emerging Technologies in Computing,2516-0281,2020-01-08,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
annals of environmental science,False,Annals of Environmental Science,1939-2621,2016-04-25,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
annals of medicine and surgery,False,Annals of Medicine and Surgery,2049-0801,2018-06-01,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
"annals of the university dunarea de jos galati, fascicle xv : physical education and sport management",False,"Annals of the University Dunarea de Jos Galati, Fascicle XV : Physical Education and Sport Management",1454-9832,2017-02-07,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
annals of tropical medicine and public health,False,Annals of Tropical Medicine and Public Health,0974-6005,2017-09-01,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
annaly aritmologii,False,Annaly Aritmologii,1814-6791,2016-11-22,1677-09-22,No licence,DOAJ,,interesting reason
annual review of the faculty of philosophy,False,Annual Review of the Faculty of Philosophy,0374-0730,2016-09-25,1677-09-22,No OA or licence info,DOAJ,,interesting reason
anthropoetics : the journal of generative anthropology,False,Anthropoetics : the Journal of Generative Anthropology,1083-7264,2017-02-07,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
antibody reports,False,Antibody Reports,2624-8557,2021-07-20,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
antrocom: online journal of anthropology,False,Antrocom: Online Journal of Anthropology,1973-2880,2017-05-16,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
anuari de filologia: estudis de lingüística,False,Anuari de Filologia: Estudis de Lingüística,2014-1408,2016-10-08,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
anuario jurídico y económico escurialense,False,Anuario Jurídico y Económico Escurialense,1133-3677,2021-08-23,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
anvil,False,Anvil,0969-7373,2021-07-19,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
anziam journal : electronic supplement,False,ANZIAM Journal : Electronic Supplement,1445-8810,2017-03-25,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
análise,False,Análise,1516-2680,2015-06-29,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
"aplinkos tyrimai, inžinerija ir vadyba",False,"Aplinkos Tyrimai, Inžinerija ir Vadyba",1392-1649,2017-04-29,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
apos trends in orthodontics,False,APOS Trends in Orthodontics,2321-1407,2021-05-03,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
applicable analysis and discrete mathematics,False,Applicable Analysis and Discrete Mathematics,1452-8630,2016-12-01,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
applied economics and finance,False,Applied Economics and Finance,"2332-7294, 2332-7308",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
applied mathematical sciences,False,Applied Mathematical Sciences,1312-885X,2015-04-02,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
applied mathematics,False,Applied Mathematics," 2152-7385, 2152-7393",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
applied mathematics and computational intelligence,False,Applied Mathematics and Computational Intelligence,2289-1315,2017-09-05,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
"applied mathematics in engineering, management and technology",False,"Applied Mathematics in Engineering, Management and Technology",2322-5572,2016-05-12,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
applied physics,False,Applied Physics,"2160-7567, 2160-7575",2015-06-26,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
applied physics research,False,Applied Physics Research,"1916-9639, 1916-9647",2015-09-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
"applied researches in technics, technologies and education",False,"Applied Researches in Technics, Technologies and Education",1314-8796,2022-03-10,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
applied technologies and innovations,False,Applied Technologies and Innovations,1804-1191,2017-05-16,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
apsp journal of case reports,False,APSP Journal of Case Reports,2218-8185,2017-06-22,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
apuntes universitarios,False,Apuntes Universitarios,2304-0335,2021-06-11,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
aquacultura indonesiana,False,Aquacultura Indonesiana,0216-0749,2020-04-16,1677-09-22,Journal not adhering to best practice,DOAJ,,interesting reason
"aquaculture, aquarium, conservation & legislation",False,"Aquaculture, Aquarium, Conservation & Legislation",1844-8143,2017-06-16,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
arab journal of nutrition and exercise,False,Arab Journal of Nutrition and Exercise,2518-6590,2021-06-23,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
arab world english journal,False,Arab World English Journal,2229-9327,2021-05-05,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
arabia,False,Arabia,2085-644X,2019-09-23,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
archaeobios,False,Archaeobios,1996-5214,2017-04-27,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
archeoarte : rivista elettronica di archeologia e arte,False,ArcheoArte : Rivista Elettronica di Archeologia e Arte,2039-4543,2017-06-12,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
architecture and design,False,Architecture and Design,2585-7789,2019-09-17,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
archiva zootehnica,False,Archiva Zootehnica,1016-4855,2017-07-12,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
archives of cardiovascular imaging,False,Archives of Cardiovascular Imaging,2322-5319,2017-03-01,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
archives of clinical psychiatry,False,Archives of Clinical Psychiatry,1806-938X,2022-05-04,1677-09-22,Journal not adhering to Best practice,DOAJ,,interesting reason
archives of craniorofacial sciences,False,Archives of CraniOrofacial Sciences,2321-9580,2017-06-01,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
archives of pediatric infectious diseases,False,Archives of Pediatric Infectious Diseases,2322-1836,2017-03-01,1677-09-22,Suspected editorial misconduct by publisher,DOAJ,,interesting reason
archives of psychiatry and psychotherapy,False,Archives of Psychiatry and Psychotherapy,1509-2046,2017-07-12,1677-09-22,Journal not adhering to Best Practice,DOAJ,,interesting reason
archivos de medicina veterinaria,False,Archivos de Medicina Veterinaria,0717-6201,2017-01-06,1677-09-22,no OA statement,DOAJ,,interesting reason
